river,Kham River (Reference),Nag River,Mula-Mutha River,Cooum River,Sukhna Choe,Shivna River,"Sabarmati Tributaries (Khari, Meshvo)",Rispana-Bindal
Kham River (Reference),0.0,0.3271378829943567,0.5078124795249394,0.632736282827588,0.546407823264069,0.7052238425672774,0.6389595405689373,0.5795977121045319
Nag River,0.3271378829943567,0.0,0.4423945335187226,0.5111778202750272,0.45843473261825274,0.5717366941237132,0.4187936947298851,0.5066159085692149
Mula-Mutha River,0.5078124795249394,0.4423945335187226,0.0,0.5343315338452179,0.3535004567446627,0.5758322517153351,0.6101242100906314,0.4862763696570907
Cooum River,0.632736282827588,0.5111778202750272,0.5343315338452179,0.0,0.5276393889468817,0.8181799113562608,0.3057946514771836,0.4029142383708691
Sukhna Choe,0.546407823264069,0.45843473261825274,0.3535004567446627,0.5276393889468817,0.0,0.3608261267687317,0.49231745716532105,0.2367121632909015
Shivna River,0.7052238425672774,0.5717366941237132,0.5758322517153351,0.8181799113562608,0.3608261267687317,0.0,0.6900143648165522,0.5503456888002681
"Sabarmati Tributaries (Khari, Meshvo)",0.6389595405689373,0.4187936947298851,0.6101242100906314,0.3057946514771836,0.49231745716532105,0.6900143648165522,0.0,0.377329465663967
Rispana-Bindal,0.5795977121045319,0.5066159085692149,0.4862763696570907,0.4029142383708691,0.2367121632909015,0.5503456888002681,0.377329465663967,0.0
