river,Kham River (Reference),Nag River,Mula-Mutha River,Cooum River,Sukhna Choe,Shivna River,"Sabarmati Tributaries (Khari, Meshvo)",Rispana-Bindal
Kham River (Reference),0.0,0.21687894212681202,0.4067319454364381,0.5280225738630077,0.5356119538865473,0.5812631404227067,0.47538342370255615,0.507747995613991
Nag River,0.21687894212681202,0.0,0.31646803042039295,0.4311436317361956,0.4303480388705021,0.4309992254066615,0.2585044815757441,0.4624840805979458
Mula-Mutha River,0.4067319454364381,0.31646803042039295,0.0,0.4761830907280171,0.30030857987868054,0.4745311949862686,0.534972511996137,0.36030176446326717
Cooum River,0.5280225738630077,0.4311436317361956,0.4761830907280171,0.0,0.4664916706066977,0.7621428571428571,0.20263915016045142,0.31005628376271277
Sukhna Choe,0.5356119538865473,0.4303480388705021,0.30030857987868054,0.4664916706066977,0.0,0.34565118653615945,0.4674239490176749,0.19929252970112776
Shivna River,0.5812631404227067,0.4309992254066615,0.4745311949862686,0.7621428571428571,0.34565118653615945,0.0,0.5595037069824056,0.5020865733801442
"Sabarmati Tributaries (Khari, Meshvo)",0.47538342370255615,0.2585044815757441,0.534972511996137,0.20263915016045142,0.4674239490176749,0.5595037069824056,0.0,0.32813141931654716
Rispana-Bindal,0.507747995613991,0.4624840805979458,0.36030176446326717,0.31005628376271277,0.19929252970112776,0.5020865733801442,0.32813141931654716,0.0
